{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  45 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.13 0.22 ; Trained episode: 6
Episode:  46 controlled agent:  1 ; Episode Return:  -404.0 ; win rate(controlled & opponent):  0.13 0.24 ; Trained episode: 6
Episode:  47 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.13 0.23 ; Trained episode: 6
Episode:  48 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.12 0.23 ; Trained episode: 6
Episode:  49 controlled agent:  1 ; Episode Return:  -229.0 ; win rate(controlled & opponent):  0.12 0.24 ; Trained episode: 6
Episode:  50 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.12 0.24 ; Trained episode: 6
Episode:  51 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.12 0.24 ; Trained episode: 6
Episode:  52 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.12 0.23 ; Trained episode: 6
Episode:  53 controlled agent:  1 ; Episode Return:  -318.0 ; win rate(controlled & opponent):  0.11 0.25 ; Trained episode: 6
Episode:  54 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.11 0.24 ; Trained episode: 6
Episode:  55 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.11 0.24 ; Trained episode: 6
Episode:  56 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.11 0.23 ; Trained episode: 6
Episode:  57 controlled agent:  1 ; Episode Return:  -454.0 ; win rate(controlled & opponent):  0.11 0.25 ; Trained episode: 6
Episode:  58 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.10 0.24 ; Trained episode: 6
