{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 6,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run6
Episode:  1 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  3 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  4 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  5 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  6 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  7 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  8 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  9 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  10 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  11 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  12 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  13 controlled agent:  1 ; Episode Return:  -387.0 ; win rate(controlled & opponent):  0.00 0.08 ; Trained episode: 0
Episode:  14 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.07 ; Trained episode: 0
Episode:  15 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.07 ; Trained episode: 0
Episode:  16 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.06 ; Trained episode: 0
Episode:  17 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.06 ; Trained episode: 0
Episode:  18 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.06 ; Trained episode: 0
Episode:  19 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.05 ; Trained episode: 0
Episode:  20 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.05 ; Trained episode: 0
Episode:  21 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.05 ; Trained episode: 0
Episode:  22 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.05 ; Trained episode: 0
Episode:  23 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.04 ; Trained episode: 0
Episode:  24 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.04 ; Trained episode: 0
Episode:  25 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.04 ; Trained episode: 0
Episode:  26 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.04 ; Trained episode: 0
Episode:  27 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.04 ; Trained episode: 0
Episode:  28 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.04 ; Trained episode: 0
Episode:  29 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  30 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  31 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  32 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  33 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  34 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  35 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  36 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  37 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  38 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  39 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  40 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.03 ; Trained episode: 0
Episode:  41 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  42 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  43 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  44 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  45 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  46 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  47 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  48 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  49 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  50 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  51 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  52 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  53 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  54 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  55 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  56 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  57 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  58 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  59 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  60 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  61 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  62 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  63 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  64 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  65 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  66 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  67 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  68 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  69 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  70 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  71 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  72 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  73 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  74 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  75 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  76 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  77 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  78 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  79 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  80 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  81 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  82 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  83 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  84 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  85 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  86 controlled agent:  1 ; Episode Return:  -441.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  87 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  88 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  89 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  90 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  91 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  92 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  93 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  94 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  95 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  96 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  97 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  98 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  99 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  100 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  101 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  102 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  103 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  104 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  105 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  106 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  107 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  108 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  109 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  110 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  111 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  112 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.02 ; Trained episode: 0
Episode:  113 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  114 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  115 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  116 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  117 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  118 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  119 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  120 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  121 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  122 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  123 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  124 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  125 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  126 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  127 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  128 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
Episode:  129 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.01 ; Trained episode: 0
