{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  1 controlled agent:  1 ; Episode Return:  -483.0 ; win rate(coFntrolled & opponent):  0.00 1.00 ; Trained episode: 0
Episode:  21 controlled agent:  1 ; Episode Return:  -124.0 ; win rate(coFntrolled & opponent):  0.33 0.33 ; Trained episode: 6
Episode:  22 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.32 0.32 ; Trained episode: 7
Episode:  23 controlled agent:  1 ; Episode Return:  -266.0 ; win rate(coFntrolled & opponent):  0.30 0.35 ; Trained episode: 7
Episode:  24 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.29 0.33 ; Trained episode: 7
Episode:  25 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.28 0.32 ; Trained episode: 7
Episode:  26 controlled agent:  1 ; Episode Return:  -130.0 ; win rate(coFntrolled & opponent):  0.27 0.35 ; Trained episode: 7
Episode:  27 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.26 0.33 ; Trained episode: 7
Episode:  28 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.25 0.32 ; Trained episode: 7
Episode:  29 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.24 0.31 ; Trained episode: 7
Episode:  30 controlled agent:  1 ; Episode Return:  -360.0 ; win rate(coFntrolled & opponent):  0.27 0.30 ; Trained episode: 7
Episode:  31 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.26 0.29 ; Trained episode: 8
Episode:  32 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.25 0.28 ; Trained episode: 8
Episode:  33 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.24 0.27 ; Trained episode: 8
Episode:  34 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.24 0.26 ; Trained episode: 8
Episode:  35 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.23 0.26 ; Trained episode: 8
Episode:  36 controlled agent:  1 ; Episode Return:  -388.0 ; win rate(coFntrolled & opponent):  0.22 0.28 ; Trained episode: 8
Episode:  37 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.22 0.27 ; Trained episode: 8
Episode:  38 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.21 0.26 ; Trained episode: 8
Episode:  39 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.21 0.26 ; Trained episode: 8
Episode:  40 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.20 0.25 ; Trained episode: 8
Episode:  41 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.20 0.24 ; Trained episode: 8
Episode:  42 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.19 0.24 ; Trained episode: 8
Episode:  43 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.19 0.23 ; Trained episode: 8
Episode:  44 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.18 0.23 ; Trained episode: 8
Episode:  45 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.18 0.22 ; Trained episode: 8
Episode:  46 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.17 0.22 ; Trained episode: 8
Episode:  47 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.17 0.21 ; Trained episode: 8
Episode:  48 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.17 0.21 ; Trained episode: 8
Episode:  49 controlled agent:  1 ; Episode Return:  -174.0 ; win rate(coFntrolled & opponent):  0.16 0.22 ; Trained episode: 8
Episode:  50 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.16 0.22 ; Trained episode: 8
Episode:  51 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.16 0.22 ; Trained episode: 8
Episode:  52 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.15 0.21 ; Trained episode: 8
Episode:  53 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.15 0.21 ; Trained episode: 8
Episode:  54 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.15 0.20 ; Trained episode: 8
Episode:  55 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.15 0.20 ; Trained episode: 8
Episode:  56 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.14 0.20 ; Trained episode: 8
Episode:  57 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.14 0.19 ; Trained episode: 8
Episode:  58 controlled agent:  1 ; Episode Return:  -115.0 ; win rate(coFntrolled & opponent):  0.14 0.21 ; Trained episode: 8
Episode:  59 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.14 0.20 ; Trained episode: 8
Episode:  60 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.13 0.20 ; Trained episode: 8
Episode:  61 controlled agent:  1 ; Episode Return:  -246.0 ; win rate(coFntrolled & opponent):  0.13 0.21 ; Trained episode: 8
Episode:  62 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.13 0.21 ; Trained episode: 8
Episode:  63 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.13 0.21 ; Trained episode: 8
Episode:  64 controlled agent:  1 ; Episode Return:  -494.0 ; win rate(coFntrolled & opponent):  0.12 0.22 ; Trained episode: 8
Episode:  65 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.22 ; Trained episode: 8
Episode:  66 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.21 ; Trained episode: 8
Episode:  67 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.21 ; Trained episode: 8
Episode:  68 controlled agent:  1 ; Episode Return:  -382.0 ; win rate(coFntrolled & opponent):  0.12 0.22 ; Trained episode: 8
Episode:  69 controlled agent:  1 ; Episode Return:  -328.0 ; win rate(coFntrolled & opponent):  0.12 0.23 ; Trained episode: 8
Episode:  70 controlled agent:  1 ; Episode Return:  -476.0 ; win rate(coFntrolled & opponent):  0.11 0.24 ; Trained episode: 8
Episode:  71 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.24 ; Trained episode: 8
Episode:  72 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.24 ; Trained episode: 8
Episode:  73 controlled agent:  1 ; Episode Return:  -427.0 ; win rate(coFntrolled & opponent):  0.11 0.25 ; Trained episode: 8
Episode:  74 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.24 ; Trained episode: 8
Episode:  75 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.24 ; Trained episode: 8
Episode:  76 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.24 ; Trained episode: 8
Episode:  77 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.23 ; Trained episode: 8
Episode:  78 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.23 ; Trained episode: 8
Episode:  79 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.23 ; Trained episode: 8
Episode:  80 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.23 ; Trained episode: 8
Episode:  81 controlled agent:  1 ; Episode Return:  -212.0 ; win rate(coFntrolled & opponent):  0.10 0.23 ; Trained episode: 8
Episode:  82 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.23 ; Trained episode: 8
Episode:  83 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.23 ; Trained episode: 8
Episode:  84 controlled agent:  1 ; Episode Return:  -180.0 ; win rate(coFntrolled & opponent):  0.10 0.24 ; Trained episode: 8
Episode:  85 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.24 ; Trained episode: 8
Episode:  86 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.23 ; Trained episode: 8
Episode:  87 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.23 ; Trained episode: 8
Episode:  88 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.23 ; Trained episode: 8
Episode:  89 controlled agent:  1 ; Episode Return:  -401.0 ; win rate(coFntrolled & opponent):  0.09 0.24 ; Trained episode: 8
Episode:  90 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.23 ; Trained episode: 8
Episode:  91 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.23 ; Trained episode: 8
Episode:  92 controlled agent:  1 ; Episode Return:  -258.0 ; win rate(coFntrolled & opponent):  0.09 0.24 ; Trained episode: 8
Episode:  93 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.24 ; Trained episode: 8
Episode:  94 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.23 ; Trained episode: 8
Episode:  95 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.23 ; Trained episode: 8
Episode:  96 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.23 ; Trained episode: 8
Episode:  97 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.23 ; Trained episode: 8
Episode:  98 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.22 ; Trained episode: 8
Episode:  99 controlled agent:  1 ; Episode Return:  -379.0 ; win rate(coFntrolled & opponent):  0.08 0.23 ; Trained episode: 8
Episode:  100 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.23 ; Trained episode: 8
Episode:  101 controlled agent:  1 ; Episode Return:  -298.0 ; win rate(coFntrolled & opponent):  0.08 0.23 ; Trained episode: 8
Episode:  102 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.23 ; Trained episode: 8
Episode:  103 controlled agent:  1 ; Episode Return:  -409.0 ; win rate(coFntrolled & opponent):  0.08 0.24 ; Trained episode: 8
Episode:  104 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.24 ; Trained episode: 8
Episode:  105 controlled agent:  1 ; Episode Return:  -477.0 ; win rate(coFntrolled & opponent):  0.07 0.25 ; Trained episode: 8
Episode:  106 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 8
Episode:  107 controlled agent:  1 ; Episode Return:  -334.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 8
Episode:  108 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 8
Episode:  109 controlled agent:  1 ; Episode Return:  -143.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 8
Episode:  110 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 8
Episode:  111 controlled agent:  1 ; Episode Return:  -481.0 ; win rate(coFntrolled & opponent):  0.05 0.26 ; Trained episode: 8
Episode:  112 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.26 ; Trained episode: 8
Episode:  113 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.25 ; Trained episode: 8
Episode:  114 controlled agent:  1 ; Episode Return:  -215.0 ; win rate(coFntrolled & opponent):  0.04 0.26 ; Trained episode: 8
Episode:  115 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.26 ; Trained episode: 8
Episode:  116 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.26 ; Trained episode: 8
Episode:  117 controlled agent:  1 ; Episode Return:  -483.0 ; win rate(coFntrolled & opponent):  0.02 0.27 ; Trained episode: 8
Episode:  118 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.26 ; Trained episode: 8
Episode:  119 controlled agent:  1 ; Episode Return:  -181.0 ; win rate(coFntrolled & opponent):  0.02 0.26 ; Trained episode: 8
Episode:  120 controlled agent:  1 ; Episode Return:  -229.0 ; win rate(coFntrolled & opponent):  0.02 0.26 ; Trained episode: 8
Episode:  121 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.26 ; Trained episode: 8
Episode:  122 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.26 ; Trained episode: 8
Episode:  123 controlled agent:  1 ; Episode Return:  -98.0 ; win rate(coFntrolled & opponent):  0.02 0.25 ; Trained episode: 8
Episode:  124 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.25 ; Trained episode: 9
Episode:  125 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.25 ; Trained episode: 9
Episode:  126 controlled agent:  1 ; Episode Return:  -259.0 ; win rate(coFntrolled & opponent):  0.02 0.25 ; Trained episode: 9
Episode:  127 controlled agent:  1 ; Episode Return:  -375.0 ; win rate(coFntrolled & opponent):  0.02 0.26 ; Trained episode: 9
Episode:  128 controlled agent:  1 ; Episode Return:  -441.0 ; win rate(coFntrolled & opponent):  0.02 0.27 ; Trained episode: 9
Episode:  129 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.27 ; Trained episode: 9
Episode:  130 controlled agent:  1 ; Episode Return:  -391.0 ; win rate(coFntrolled & opponent):  0.01 0.28 ; Trained episode: 9
Episode:  131 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.28 ; Trained episode: 9
Episode:  132 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.28 ; Trained episode: 9
Episode:  133 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.28 ; Trained episode: 9
Episode:  134 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.28 ; Trained episode: 9
Episode:  135 controlled agent:  1 ; Episode Return:  -314.0 ; win rate(coFntrolled & opponent):  0.01 0.29 ; Trained episode: 9
Episode:  136 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.28 ; Trained episode: 9
Episode:  137 controlled agent:  1 ; Episode Return:  -410.0 ; win rate(coFntrolled & opponent):  0.01 0.29 ; Trained episode: 9
Episode:  138 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.29 ; Trained episode: 9
Episode:  139 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.29 ; Trained episode: 9
Episode:  140 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.29 ; Trained episode: 9
Episode:  141 controlled agent:  1 ; Episode Return:  -241.0 ; win rate(coFntrolled & opponent):  0.01 0.30 ; Trained episode: 9
Episode:  142 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.30 ; Trained episode: 9
Episode:  143 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.30 ; Trained episode: 9
Episode:  144 controlled agent:  1 ; Episode Return:  -476.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  145 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  146 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  147 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  148 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  149 controlled agent:  1 ; Episode Return:  -353.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  150 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  151 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  152 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.31 ; Trained episode: 9
Episode:  153 controlled agent:  1 ; Episode Return:  -128.0 ; win rate(coFntrolled & opponent):  0.01 0.32 ; Trained episode: 9
Episode:  154 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.01 0.32 ; Trained episode: 9
Episode:  155 controlled agent:  1 ; Episode Return:  -291.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 9
Episode:  156 controlled agent:  1 ; Episode Return:  -393.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  157 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  158 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 10
Episode:  159 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 10
Episode:  160 controlled agent:  1 ; Episode Return:  -461.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  161 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 10
Episode:  162 controlled agent:  1 ; Episode Return:  -241.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  163 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  164 controlled agent:  1 ; Episode Return:  -131.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  165 controlled agent:  1 ; Episode Return:  -419.0 ; win rate(coFntrolled & opponent):  0.02 0.34 ; Trained episode: 10
Episode:  166 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.34 ; Trained episode: 10
Episode:  167 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.34 ; Trained episode: 10
Episode:  168 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  169 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 10
Episode:  170 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.31 ; Trained episode: 10
Episode:  171 controlled agent:  1 ; Episode Return:  -404.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 10
Episode:  172 controlled agent:  1 ; Episode Return:  -277.0 ; win rate(coFntrolled & opponent):  0.02 0.33 ; Trained episode: 10
Episode:  173 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 10
Episode:  174 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.32 ; Trained episode: 10
Episode:  175 controlled agent:  1 ; Episode Return:  -311.0 ; win rate(coFntrolled & opponent):  0.03 0.32 ; Trained episode: 10
Episode:  176 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.32 ; Trained episode: 11
Episode:  177 controlled agent:  1 ; Episode Return:  -266.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  178 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  179 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  180 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  181 controlled agent:  1 ; Episode Return:  -239.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  182 controlled agent:  1 ; Episode Return:  -442.0 ; win rate(coFntrolled & opponent):  0.03 0.34 ; Trained episode: 11
Episode:  183 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.34 ; Trained episode: 11
Episode:  184 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  185 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  186 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  187 controlled agent:  1 ; Episode Return:  -384.0 ; win rate(coFntrolled & opponent):  0.03 0.34 ; Trained episode: 11
Episode:  188 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.34 ; Trained episode: 11
Episode:  189 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  190 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  191 controlled agent:  1 ; Episode Return:  -385.0 ; win rate(coFntrolled & opponent):  0.03 0.34 ; Trained episode: 11
Episode:  192 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  193 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  194 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  195 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  196 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  197 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
Episode:  198 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.33 ; Trained episode: 11
