{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 5,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run5
Episode:  43 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.16 ; Trained episode: 1
Episode:  44 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.16 ; Trained episode: 1
Episode:  45 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.16 ; Trained episode: 1
Episode:  46 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.15 ; Trained episode: 1
Episode:  47 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.15 ; Trained episode: 1
Episode:  48 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.15 ; Trained episode: 1
Episode:  49 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.02 0.14 ; Trained episode: 1
Episode:  50 controlled agent:  1 ; Episode Return:  -336.0 ; win rate(coFntrolled & opponent):  0.04 0.14 ; Trained episode: 1
Episode:  51 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.14 ; Trained episode: 2
Episode:  52 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.13 ; Trained episode: 2
Episode:  53 controlled agent:  1 ; Episode Return:  -270.0 ; win rate(coFntrolled & opponent):  0.06 0.13 ; Trained episode: 2
Episode:  54 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.13 ; Trained episode: 3
Episode:  55 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.13 ; Trained episode: 3
Episode:  56 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.12 ; Trained episode: 3
Episode:  57 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.12 ; Trained episode: 3
Episode:  58 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.12 ; Trained episode: 3
Episode:  59 controlled agent:  1 ; Episode Return:  -437.0 ; win rate(coFntrolled & opponent):  0.05 0.14 ; Trained episode: 3
Episode:  60 controlled agent:  1 ; Episode Return:  -213.0 ; win rate(coFntrolled & opponent):  0.07 0.13 ; Trained episode: 3
Episode:  61 controlled agent:  1 ; Episode Return:  -277.0 ; win rate(coFntrolled & opponent):  0.08 0.13 ; Trained episode: 4
Episode:  62 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.13 ; Trained episode: 5
Episode:  63 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.13 ; Trained episode: 5
Episode:  64 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.12 ; Trained episode: 5
Episode:  65 controlled agent:  1 ; Episode Return:  -320.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 5
Episode:  66 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 6
Episode:  67 controlled agent:  1 ; Episode Return:  -174.0 ; win rate(coFntrolled & opponent):  0.10 0.12 ; Trained episode: 6
Episode:  68 controlled agent:  1 ; Episode Return:  -232.0 ; win rate(coFntrolled & opponent):  0.10 0.13 ; Trained episode: 7
Episode:  69 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.13 ; Trained episode: 7
Episode:  70 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.13 ; Trained episode: 7
Episode:  71 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.13 ; Trained episode: 7
Episode:  72 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.12 ; Trained episode: 7
Episode:  73 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.12 ; Trained episode: 7
Episode:  74 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 7
Episode:  75 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 7
Episode:  76 controlled agent:  1 ; Episode Return:  -314.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 7
Episode:  77 controlled agent:  1 ; Episode Return:  -250.0 ; win rate(coFntrolled & opponent):  0.12 0.12 ; Trained episode: 8
Episode:  78 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.12 ; Trained episode: 9
Episode:  79 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.11 ; Trained episode: 9
